sentence	label
midede protein sindirimi başladığı için midesiz bir insan proteinleri sindirmekte zorlanır ayrıca mide mekanik sindirim yaparak kimyasal sindirime yardım eden bir yapı olduğu için	4
karbonhidratlar midede fiziksel sindirime uğrayamadıkları için ince bağırsak daha çok zorlanır proteinler de fiziksel sindirime uğrayamadığından ince bağırsak zorlanır kimus denilen asitli yapı oluşamaz ve hco3 ile birleşen normal besinler ortama göre fazla bazik olabilirler	5
beslenme bozukluğu	0
gıdaların çok düşük oranda sindirilmesi	1
az az yemek yemelidir mide depo görevi görür ancak midesi olmazsa besinler beklemeden ince bağırsağa geçer protein ağırlıklı beslenemez proteinlerin sindirimi zorlaşır	4
mide alındığında protein sindirimi gerçekleşmez protein yapısal bir besin olduğu için insan ölebilir ayrıca midede bulunan enzimler bazı sindirim sistemi organlarını da çalıştırır mide giderse tüm sindirim sistemi çöker	4
kimyasal parçalanma olmadığı veya çok az olacağı için bağırsaklarda büyük parçaların emilimi gerçekleşmez veya az miktarda olacağı için o kişiye sıvı gıdalar tüketmesi önerilir	3
bagirsak problemi	0
besinler geçici olarak depolanamaz besinlerin mekanik sindirimi azalır sindirim süresi uzar proteinlerin kimyasal sindirimi gerçekleşemez	5
protein sindirimi problemi yaşar	2
proteinlerin sindiriminde zorlanacaktır ince bağırsakta protein  sindirimi biraz yapılsa da mide olmadan yeterli gelmeyecektir ayrıca midede çalkalanma olayıyla meydana gelen mekanik sindirimden mahrum kalır	4
protein sindirim aktivitesi bozulur yemek yiyemez	2
protein sindirimlerinde zorlanır ama sindirimi gerçekleşir besinler kimus oluşturmaz ince bağırsağa daha büyük parçalar halinde gelir asidik ortamda çalışan enzimler kullanamaz	4
kati besinler tuketememesi	2
yediklerini öğütemez	1
mekanik sindirim büyük oranda azalacağı için sıvı gıdalar tüketmek zorunda kalır	2
proteinlerin kimyasal sindirimi midede başladığı için midesiz insanda proteinlerin sindirimi sadece ince bağırsakta olur bu yüzden protein sindirimi zor gerçekleşir mide ayrıca kasılma hareketleriyle fiziksel sindirim sağladığı için sindirime uğrayan tüm besinlerin sindirimi zor gerçekleşir	5
mide yanması	0
yemek yiyemez	0
proteinlerin  sentezinde zorlanır besinler mekanik olarak daha az sindirilir besin depo edilemez b12 vitamini sindirimi emilimi zorlaşır	4
mayoz bölünme kalıtsal çeşitlilik sağladığından evrimde varyasyona yardımcı olur destekler ve mayoz geçiren canlıların adaptasyon özelliği kalıtsal çeşitlilik yaşandığından dolayı daha gelişmiştir farklı ortamlarda daha kolay uyum sağlar	0
sindirim yapamaz bu nedenle vücudu ile ilgili bir sürü sorun yaşar zaten bir süre sonra ölür	0
proteinlerin fiziksel sindirimi gerçekleşemez kimyasal sindirimde ince bağırsakta çok az gerçekleşir en sonunda bol proteinli dışkı dışarı atılır	4
katı besinler tüketemez	1
beslenmede sorunlar yaşar	0
tüm besin çeşitlerinin mekanik sindirimi aksar proteinlerin kimyasal sindirimini başlatan pepsinojen aktif hali pepsin enzimi mideden salgılandığı için o aksar ve ince bağırsağa daha çok yük biner	4
mide özsuyunun sindirime katılamaması ve sindirimin zorlaşması	2
spazmik ağrılari artacaktır daha yavaş sindirecektir	1
midedeki peristaltik hareketler gerçekleşmediği için proteinlerin mekanik sindirimi yapılamaz pepsin enzimi olmadığı için kimyasal sindirimler de olmaz proteinlerin sindirimi tamamlanamaz	5
midesi alınan bir insan ölmez fakar protein sindirimini yapmada zorlanır çünkü proteinler ilk önce midede sonra ince bağırsakta kimyasal sindirime uğrar bu sebeple daha az miktarda besin kaynağıyla yetinmek zorunda kalır bu da hayat kalitesini düşürür	4
bagirsak tembelligi	0
protein sindirimi tam olarak gerçekleşemez bu yüzden vücut yeterli protein alamaz protein yağ ve karbonhidratları içeren her besini tüketemez	5
midesi alınan erişkin bir insan karbonhidratların bir kısmı sindirilirken sorun yaşar midede sindirime uğrayan karbonhidratlar sindirilemez proteinlerin küçük polipeptitlere parçalanma aşaması midede gerçekleşir midesi alınan bir insan bu sindirimi gerçekleştiremez	4
sindirememe	0
adaptasyonu kolaylaştırır kromozom sayısında değişiklik olmaz kalıtsal çeşitlilik sağlar	0
yemek borusunun bir kısmı mide gibi davranacaktır ancak proteinlerin sindirimi mideye gelen enzimler ile başladığı için protein sindiriminde sorun yaşar	3
karbonhidrat yağların sindiriminde zorluklar yaşanır bu maddelerin sindirimi burada tamamlanır veya burada başlar	0
midede proteinlerin kimyasal sindirimi olduğundan ince bağırsağı çok yorulur üstelik mekanik sindirimle daha küçük parçalara ayıramadığından kimyasal sindirim zorlaşır	4
alınan besinlerin parçalanmasında çok büyük aksamalar olur emilim mekanizmasında sorunlar oluşur	1
sindirimi bağırsaklar tamamlamaya çalışır besinler tam sindirilmez	1
bazı maddelerin emilimi sekteye uğrar protein doğru sindirilemez ince bağırsağın işi zorlanır çünkü fiziksel sindirime ihtiyacı vardır	3
mide genişler onun için kısa bir süre sonra eski halini alır	0
hiç sindirememek olabilir mi	0
midede proteinlerin sindirimi olduğundan protein yapılı molekülleri sindirirken kimyasal sindiriminde aksaklık olur aynı zamanda mekanik sindirim yapıldığı için yağların ve karbonhidratların da küçük parçalara ayrılıp yüzey alanını büyütmesinde aksamalar görülür	4
mide asidinin salgılanamamasından dolayı sindirim yapılamaz ya da çok uzun sürer	1
ağızdan sindirim sistemi yoluyla gıda alamaz direkt olarak ince bağırsaktan besleme ya da kana sindirilmiş yani midenin işlevine gerek kalmadan kana karışabilen gıdalar ile yaşamına devam edebilir yeme alışkanlıkları yok olacak	1
proteinlerin eksik sindirimini yaptığı için protein sindirimi daha geç ve uzun zamanda olur kimus adı verilen madde oluşturulup incebağırsağa aktarılamaz besinler depo edilemez	4
mide olmazsa yaşanmaz	0
midede besinler cesitli kimyasallarla yapi taslarina ayrilir mide alinirsa artik besinler parcalanamaz	0
